;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;S9058601706;L9058601706;; 22.894 ; 23.867 ; -   ; -   ; 973 ; -   ; 2.527 ; -   ; $17,48 ; $45,41 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601706
;S9049600852;L9049600852;; 22.983 ; 24.207 ; -   ; -   ; 1.224 ; -   ; 2.276 ; -   ; $22,00 ; $40,90 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600852
;S9058601635;L9058601635;; 22.291 ; 26.402 ; -   ; -   ; 4.111 ; -   ; -   ; -   ; $73,87 ; $- ; $- ; $73,87 ; $50.584,94 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601635
;S9049601100;L9049601100;; 44.289 ; 47.027 ; -   ; -   ; 2.738 ; -   ; 762 ; -   ; $49,20 ; $13,69 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S9058601708;L9058601708;; 20.791 ; 22.475 ; -   ; -   ; 1.684 ; -   ; 1.816 ; -   ; $30,26 ; $32,63 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601708
;S9058602090;L9058602090;; 34.984 ; 38.156 ; -   ; -   ; 3.172 ; -   ; 328 ; -   ; $57,00 ; $5,89 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058602090
;S9049401019;L9049401019;; 34.302 ; 35.899 ; -   ; -   ; 1.597 ; -   ; 1.903 ; -   ; $28,70 ; $34,20 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049401019
;S9049400708;L9049400708;; 28.685 ; 29.124 ; -   ; -   ; 439 ; -   ; 3.061 ; -   ; $7,89 ; $55,01 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400708
;S9058601483;L9058601483;; 23.407 ; 24.654 ; -   ; -   ; 1.247 ; -   ; 2.253 ; -   ; $22,41 ; $40,49 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601483
;W915P910051;W915P910051;; 5.968 ; 7.118 ; -   ; -   ; 1.150 ; -   ; 2.350 ; -   ; $20,67 ; $42,23 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9058601943;L9058601943;; 30.810 ; 32.450 ; -   ; -   ; 1.640 ; -   ; 1.860 ; -   ; $29,47 ; $33,42 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601943
;W914PA06722;W914PA06722;; 30.779 ; 32.549 ; -   ; -   ; 1.770 ; -   ; 1.730 ; -   ; $31,81 ; $31,09 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9049600979;L9049600979;; 16.052 ; 18.713 ; -   ; -   ; 2.661 ; -   ; 839 ; -   ; $47,82 ; $15,08 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600979
;W804P700384;W804P700384;; 24.339 ; 26.302 ; 10.421 ; 12.145 ; 1.963 ; 1.724 ; 2.037 ; -   ; $164,32 ; $36,60 ; $- ; $200,92 ; $137.578,92 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804P700384
;S9058601511;L9058601511;; 36.079 ; 40.466 ; -   ; -   ; 4.387 ; -   ; -   ; -   ; $78,83 ; $- ; $- ; $78,83 ; $53.981,06 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601511
;S9058601746;L9058601746;; 21.032 ; 22.875 ; -   ; -   ; 1.843 ; -   ; 1.657 ; -   ; $33,12 ; $29,78 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601746
;S9049601036;L9049601036;; 19.194 ; 20.316 ; -   ; -   ; 1.122 ; -   ; 2.378 ; -   ; $20,16 ; $42,73 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601036
;S9049601205;L9049601205;; 27.110 ; 28.939 ; -   ; -   ; 1.829 ; -   ; 1.671 ; -   ; $32,87 ; $30,03 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601205
;S9049601174;L9049601174;; 34.083 ; 36.235 ; -   ; -   ; 2.152 ; -   ; 1.348 ; -   ; $38,67 ; $24,22 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601174
;W915P208106;W915P208106;; 50.447 ; 53.089 ; -   ; -   ; 2.642 ; -   ; 858 ; -   ; $47,48 ; $15,42 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;W795P104157;W795P104157;; 6.876 ; 7.289 ; 10.234 ; 11.068 ; 413 ; 834 ; 3.587 ; 166 ; $69,85 ; $64,46 ; $12,43 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W795P104157
;S9049400770;L9049400770;; 29.012 ; 30.577 ; -   ; -   ; 1.565 ; -   ; 1.935 ; -   ; $28,12 ; $34,77 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400770
;W794P904149;W794P904149;; 9.476 ; 16.076 ; 7.110 ; 11.273 ; 6.600 ; 4.163 ; -   ; -   ; $430,20 ; $- ; $- ; $430,20 ; $294.576,89 ; Requerimiento Adicional ;;Sodimac;MISMO CONTADOR AREMOTE QUE EL MES ANTERIOR;Propiedad Ricoh;Ricoh-AficioMPC305;W794P904149
;W915P703989;W915P703989;; 3.737 ; 4.156 ; -   ; -   ; 419 ; -   ; 3.081 ; -   ; $7,53 ; $55,37 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9058602098;L9058602098;; 20.510 ; 21.912 ; -   ; -   ; 1.402 ; -   ; 2.098 ; -   ; $25,19 ; $37,70 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058602098
;S9049600669;L9049600669;; 34.793 ; 35.966 ; -   ; -   ; 1.173 ; -   ; 2.327 ; -   ; $21,08 ; $41,82 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600669
;S9049601096;L9049601096;; 31.853 ; 33.498 ; -   ; -   ; 1.645 ; -   ; 1.855 ; -   ; $29,56 ; $33,33 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601096
;S8142400730;S8142400730;; 18.080 ; 21.085 ; -   ; -   ; 3.005 ; -   ; -   ; -   ; $54,00 ; $- ; $- ; $54,00 ; $36.975,86 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9058601734;L9058601734;; 8.145 ; 9.536 ; -   ; -   ; 1.391 ; -   ; 2.109 ; -   ; $25,00 ; $37,90 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;MISMO CONTADOR AREMOTE QUE EL MES ANTERIOR;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601734
;S9058601924;L9058601924;; 21.796 ; 23.276 ; -   ; -   ; 1.480 ; -   ; 2.020 ; -   ; $26,60 ; $36,30 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601924
;W805P600818;W805P600818;; 19.729 ; 23.504 ; 7.550 ; 8.945 ; 3.775 ; 1.395 ; 225 ; -   ; $172,25 ; $4,04 ; $- ; $176,30 ; $120.716,75 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;S9058601973;L9058601973;; 37.220 ; 39.294 ; -   ; -   ; 2.074 ; -   ; 1.426 ; -   ; $37,27 ; $25,63 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601973
;W914P307845;W914P307845;; 70.546 ; 72.351 ; -   ; -   ; 1.805 ; -   ; 1.695 ; -   ; $32,44 ; $30,46 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMP301;W914P307845
;S9049600854;L9049600854;; 25.426 ; 25.973 ; -   ; -   ; 547 ; -   ; 2.953 ; -   ; $9,83 ; $53,07 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600854
;S9058602117;L9058602117;; 24.132 ; 25.683 ; -   ; -   ; 1.551 ; -   ; 1.949 ; -   ; $27,87 ; $35,02 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058602117
;W913P707913;W913P707913;; 23.203 ; 25.506 ; -   ; -   ; 2.303 ; -   ; 1.197 ; -   ; $41,38 ; $21,51 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Banco Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9058601921;L9058601921;; 24.270 ; 25.955 ; -   ; -   ; 1.685 ; -   ; 1.815 ; -   ; $30,28 ; $32,62 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601921
;S9049601070;L9049601070;; 35.672 ; 37.763 ; -   ; -   ; 2.091 ; -   ; 1.409 ; -   ; $37,58 ; $25,32 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601070
;S9049601048;L9049601048;; 29.776 ; 31.835 ; -   ; -   ; 2.059 ; -   ; 1.441 ; -   ; $37,00 ; $25,89 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601048
;S9049400612;L9049400612;; 33.543 ; 35.045 ; -   ; -   ; 1.502 ; -   ; 1.998 ; -   ; $26,99 ; $35,90 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400612
;S9058601893;L9058601893;; 39.404 ; 41.233 ; -   ; -   ; 1.829 ; -   ; 1.671 ; -   ; $32,87 ; $30,03 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601893
;S9049300947;L9049300947;; 39.690 ; 41.931 ; -   ; -   ; 2.241 ; -   ; 1.259 ; -   ; $40,27 ; $22,62 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049300947
;S9058601533;L9058601533;; 21.845 ; 23.535 ; -   ; -   ; 1.690 ; -   ; 1.810 ; -   ; $30,37 ; $32,53 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601533
;S9058602057;L9058602057;; 28.576 ; 30.296 ; -   ; -   ; 1.720 ; -   ; 1.780 ; -   ; $30,91 ; $31,99 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058602057
;S9049400882;L9049400882;; 42.980 ; 45.648 ; -   ; -   ; 2.668 ; -   ; 832 ; -   ; $47,94 ; $14,95 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400882
;W795P104320;W795P104320;; 39.048 ; 45.969 ; 4.449 ; 5.306 ; 6.921 ; 857 ; -   ; 143 ; $188,52 ; $- ; $10,70 ; $199,22 ; $136.414,16 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;S9058601900;L9058601900;; 35.681 ; 37.564 ; -   ; -   ; 1.883 ; -   ; 1.617 ; -   ; $33,84 ; $29,06 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601900
;S9058601850;L9058601850;; 25.919 ; 28.048 ; -   ; -   ; 2.129 ; -   ; 1.371 ; -   ; $38,26 ; $24,64 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601850
;S9049600681;L9049600681;; 33.038 ; 33.038 ; -   ; -   ; -   ; -   ; 3.500 ; -   ; $- ; $62,90 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600681
;S9058602048;L9058602048;; 29.060 ; 31.304 ; -   ; -   ; 2.244 ; -   ; 1.256 ; -   ; $40,32 ; $22,57 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058602048
;S9058600231;L9058600231;; 21.928 ; 24.287 ; -   ; -   ; 2.359 ; -   ; 1.141 ; -   ; $42,39 ; $20,50 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;S9058602099;L9058602099;; 30.902 ; 33.732 ; -   ; -   ; 2.830 ; -   ; 670 ; -   ; $50,86 ; $12,04 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058602099
;S9049601059;L9049601059;; 35.361 ; 36.134 ; -   ; -   ; 773 ; -   ; 2.727 ; -   ; $13,89 ; $49,00 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601059
;S9058601930;L9058601930;; 21.862 ; 23.192 ; -   ; -   ; 1.330 ; -   ; 2.170 ; -   ; $23,90 ; $38,99 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601930
;T924Q830189;T924Q830189;; 2.005 ; 2.119 ; -   ; -   ; 114 ; -   ; 1.386 ; -   ; $2,05 ; $24,91 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-SP310DNw;
;T924Q830219;T924Q830219;; 15.993 ; 16.009 ; -   ; -   ; 16 ; -   ; 1.484 ; -   ; $0,29 ; $26,67 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Banco Falabella;EQUIPO NO INSTALADO (Sin Punto de Red);Propiedad Ricoh;Ricoh-AficioSP3510DN;
;T924Q930097;T924Q930097;; -   ; -   ; -   ; -   ; -   ; -   ; 1.500 ; -   ; $- ; $26,96 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;NO encontradas;Sodimac;NO ESTAN EN AREMOTE;Propiedad Ricoh;Ricoh-SP310DNw;T924Q930097
;T924Q930222;T924Q930222;; 265 ; 265 ; -   ; -   ; -   ; -   ; 1.500 ; -   ; $- ; $26,96 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;Desconectadas;Sodimac;MISMO CONTADOR AREMOTE QUE EL MES ANTERIOR;Propiedad Ricoh;Ricoh-SP310DNw;T924Q930222
;T924Q830421;T924Q830421;; 22 ; 22 ; -   ; -   ; -   ; -   ; 1.500 ; -   ; $- ; $26,96 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;IP;Falabella;Contador por web 22 Sin movimiento;Propiedad Ricoh;Ricoh-SP310DNw;
;T313QA00959;T313QA00959;; 100 ; 112 ; -   ; -   ; 12 ; -   ; 1.488 ; -   ; $0,22 ; $26,74 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T313QA00959
;S9058601752;L9058601752;; 25.141 ; 27.173 ; -   ; -   ; 2.032 ; -   ; 1.468 ; -   ; $36,52 ; $26,38 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601752
;T314Q201376;T314Q201376;; 207 ; 215 ; -   ; -   ; 8 ; -   ; 1.492 ; -   ; $0,14 ; $26,81 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201376
;T314Q201353;T314Q201353;; 273 ; 283 ; -   ; -   ; 10 ; -   ; 1.490 ; -   ; $0,18 ; $26,78 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201353
;S8142300874;S8142300874;; 37.250 ; 39.527 ; -   ; -   ; 2.277 ; -   ; 723 ; -   ; $40,92 ; $12,99 ; $- ; $53,91 ; $36.914,33 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9058601697;L9058601697;; 25.863 ; 29.885 ; -   ; -   ; 4.022 ; -   ; -   ; -   ; $72,28 ; $- ; $- ; $72,28 ; $49.489,82 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200S;
;T314Q201362;T314Q201362;; 403 ; 429 ; -   ; -   ; 26 ; -   ; 1.474 ; -   ; $0,47 ; $26,49 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201362
;S8142300851;S8142300851;; 34.350 ; 39.611 ; -   ; -   ; 5.261 ; -   ; -   ; -   ; $94,54 ; $- ; $- ; $94,54 ; $64.735,44 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;T313QA00878;T313QA00878;; 416 ; 440 ; -   ; -   ; 24 ; -   ; 1.476 ; -   ; $0,43 ; $26,52 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T313QA00878
;T314Q201372;T314Q201372;; 298 ; 308 ; -   ; -   ; 10 ; -   ; 1.490 ; -   ; $0,18 ; $26,78 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201372
;W803P900636;W803P900636;; 18.763 ; 19.995 ; 26.666 ; 27.804 ; 1.232 ; 1.138 ; 2.768 ; -   ; $107,32 ; $49,74 ; $- ; $157,06 ; $107.544,79 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W803P900636
;T313QA00879;T313QA00879;; 438 ; 464 ; -   ; -   ; 26 ; -   ; 1.474 ; -   ; $0,47 ; $26,49 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T313QA00879
;T313QA00884;T313QA00884;; 416 ; 431 ; -   ; -   ; 15 ; -   ; 1.485 ; -   ; $0,27 ; $26,69 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T313QA00884
;S9049400857;L9049400857;; 23.666 ; 25.676 ; -   ; -   ; 2.010 ; -   ; 1.490 ; -   ; $36,12 ; $26,78 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400857
;T313QA00882;T313QA00882;; 652 ; 689 ; -   ; -   ; 37 ; -   ; 1.463 ; -   ; $0,66 ; $26,29 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T313QA00882
;S8141501053;S8141501053;; 20.822 ; 22.946 ; -   ; -   ; 2.124 ; -   ; 876 ; -   ; $38,17 ; $15,74 ; $- ; $53,91 ; $36.914,33 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200DN;S8141501053
;T314Q201279;T314Q201279;; 1.722 ; 1.764 ; -   ; -   ; 42 ; -   ; 1.458 ; -   ; $0,75 ; $26,20 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201279
;S9058601881;L9058601881;; 26.909 ; 29.096 ; -   ; -   ; 2.187 ; -   ; 1.313 ; -   ; $39,30 ; $23,59 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601881
;T314Q201399;T314Q201399;; 491 ; 512 ; -   ; -   ; 21 ; -   ; 1.479 ; -   ; $0,38 ; $26,58 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201399
;S9049200767;L9049200767;; 43.846 ; 45.356 ; -   ; -   ; 1.510 ; -   ; 1.990 ; -   ; $27,13 ; $35,76 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049200767
;S9049600870;L9049600870;; 31.617 ; 33.205 ; -   ; -   ; 1.588 ; -   ; 1.912 ; -   ; $28,54 ; $34,36 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049600870
;S9058601931;L9058601931;; 26.094 ; 28.240 ; -   ; -   ; 2.146 ; -   ; 1.354 ; -   ; $38,56 ; $24,33 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601931
;S9049601156;L9049601156;; 28.328 ; 29.290 ; -   ; -   ; 962 ; -   ; 2.538 ; -   ; $17,29 ; $45,61 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601156
;S9049401046;L9049401046;; 21.311 ; 22.590 ; -   ; -   ; 1.279 ; -   ; 2.221 ; -   ; $22,98 ; $39,91 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049401046
;S9049601196;L9049601196;; 30.325 ; 32.122 ; -   ; -   ; 1.797 ; -   ; 1.703 ; -   ; $32,29 ; $30,60 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049601196
;T924Q830192;T924Q830192;S8132300135; 2.582 ; 2.582 ; -   ; -   ; -   ; -   ; -   ; -   ; $- ; $- ; $- ; $-   ; $-   ; Requerimiento Original ;;Falabella;;Propiedad Ricoh;Ricoh-SP310DNw;
;S8142400256;S8142400256;; 20.165 ; 21.739 ; -   ; -   ; 1.574 ; -   ; 1.426 ; -   ; $28,28 ; $25,63 ; $- ; $53,91 ; $36.914,33 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSP5200DN;
;S9058601519;L9058601519;; 24.050 ; 26.106 ; -   ; -   ; 2.056 ; -   ; 1.444 ; -   ; $36,95 ; $25,95 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601519
;S9058601589;L9058601589;; 20.085 ; 24.495 ; -   ; -   ; 4.410 ; -   ; -   ; -   ; $79,25 ; $- ; $- ; $79,25 ; $54.264,07 ; Requerimiento Adicional ;;Sodimac;MISMO CONTADOR AREMOTE QUE EL MES ANTERIOR;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601589
;S9049501414;L9049501414;; 38.050 ; 39.897 ; -   ; -   ; 1.847 ; -   ; 1.653 ; -   ; $33,19 ; $29,70 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049501414
;W914P307730;W914P307730;; 25.748 ; 28.659 ; -   ; -   ; 2.911 ; -   ; 589 ; -   ; $52,31 ; $10,58 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMP301;
;S9058601547;L9058601547;; 24.908 ; 26.924 ; -   ; -   ; 2.016 ; -   ; 1.484 ; -   ; $36,23 ; $26,67 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9058601547
;T314Q201280;T314Q201280;; 1.030 ; 1.043 ; -   ; -   ; 13 ; -   ; 1.487 ; -   ; $0,23 ; $26,72 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP3510DN;T314Q201280
;G924Q930088;G924Q930088;; 1.886 ; 1.950 ; -   ; -   ; 64 ; -   ; 1.436 ; -   ; $1,15 ; $25,80 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-SP310DNw;
;T924Q830359;T924Q830359;; 1.612 ; 1.891 ; -   ; -   ; 279 ; -   ; 1.221 ; -   ; $5,01 ; $21,94 ; $- ; $26,96 ; $18.457,17 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-SP310DNw;
;S9049400685;L9049400685;; 22.743 ; 23.991 ; -   ; -   ; 1.248 ; -   ; 2.252 ; -   ; $22,43 ; $40,47 ; $- ; $62,90 ; $43.066,72 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioSP5200S;S9049400685
