;NUMERO DE SERIE;NUMERO DE SERIE;Reemplaza a Serie;Contador Mono Anterior (Qty);Contador Mono Actual (Qty);Contador Color Anterior (Qty);Contador Color Actual (Qty);Uso Mono (Qty);Uso Color (Qty);Minimo Mono (Qty);Minimo Color (Qty);Costo Consumo (USD);Costo Minimo Mono (USD);Costo Minimo Color (USD);Costo Total (USD);Costo Total (CLP);Categoria;Estado Informado a Adessa;Negocio;Observaciones del Tecnico Residente;Prop Adessa;Modelo;
;W805P600908;W805P600908;; 286 ; 293 ; 1.105 ; 1.180 ; 7 ; 75 ; 3.993 ; 925 ; $5,74 ; $71,75 ; $69,24 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W805P600908
;W804P700350;W804P700350;; 412 ; 436 ; 1.354 ; 1.440 ; 24 ; 86 ; 3.976 ; 914 ; $6,87 ; $71,45 ; $68,41 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804P700350
;E174M750546;174M750546;; 32.078 ; 34.128 ; 16.192 ; 17.796 ; 2.050 ; 1.604 ; 3.950 ; 896 ; $156,90 ; $70,98 ; $67,07 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC4503;E174M750546
;W794PA04214;W794PA04214;; 3.728 ; 4.095 ; 158 ; 162 ; 367 ; 4 ; 3.633 ; 996 ; $6,89 ; $65,29 ; $74,55 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794PA04214
;W804PA00634;W804PA00634;; 1.559 ; 2.626 ; 1.874 ; 1.874 ; 1.067 ; -   ; 2.933 ; 1.000 ; $19,17 ; $52,71 ; $74,85 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00634
;W805P100730;W805P100730;; 2.323 ; 2.527 ; 2.806 ; 3.263 ; 204 ; 457 ; 3.796 ; 543 ; $37,87 ; $68,21 ; $40,64 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W805P100730
;W805P600936;W805P600936;G446P101016; 2.119 ; 2.119 ; 663 ; 663 ; -   ; -   ; 4.000 ; 1.000 ; $- ; $71,88 ; $74,85 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC305;
;W794P904153;W794P904153;; 4.852 ; 5.036 ; 1.875 ; 2.303 ; 184 ; 428 ; 3.816 ; 572 ; $35,34 ; $68,57 ; $42,81 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W794P904153
;S9458500066;L9458500066;; 1.020 ; 1.278 ; 4.729 ; 5.215 ; 258 ; 486 ; 2.742 ; 1.014 ; $41,01 ; $49,27 ; $75,90 ; $166,19 ; $113.793,52 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioSPC431DN;
;G445PA00404;G445PA00404;; 1.054 ; 1.447 ; 5.306 ; 6.730 ; 393 ; 1.424 ; 3.607 ; -   ; $113,65 ; $64,82 ; $- ; $178,47 ; $122.203,08 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-MPC306Z;G445PA00404
;W804PA00641;W804PA00641;; 3.682 ; 3.682 ; 784 ; 784 ; -   ; -   ; 4.000 ; 1.000 ; $- ; $71,88 ; $74,85 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00641
;W804PA00646;W804PA00646;; 2.846 ; 2.848 ; 5.346 ; 5.350 ; 2 ; 4 ; 3.998 ; 996 ; $0,34 ; $71,84 ; $74,55 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00646
;W795P104422;W795P104422;; 648 ; 674 ; 1.363 ; 1.542 ; 26 ; 179 ; 3.974 ; 821 ; $13,87 ; $71,41 ; $61,45 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W795P104422
;W804PA00741;W804PA00741;; 7.431 ; 8.679 ; 3.705 ; 4.627 ; 1.248 ; 922 ; 2.752 ; 78 ; $91,44 ; $49,45 ; $5,84 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-AficioMPC305;W804PA00741
;G445PA00432;G445PA00432;; 1.065 ; 1.271 ; 9.116 ; 11.772 ; 206 ; 2.656 ; 3.794 ; -   ; $202,50 ; $68,18 ; $- ; $270,68 ; $185.346,52 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-MPC306Z;
;G445PA00446;G445PA00446;; 3.834 ; 4.092 ; 2.827 ; 2.963 ; 258 ; 136 ; 3.742 ; 864 ; $14,82 ; $67,24 ; $64,67 ; $146,73 ; $100.471,90 ; Requerimiento Adicional ;;Sodimac;;Propiedad Ricoh;Ricoh-MPC306Z;G445PA00446
;E174M850557;174M850557;; 35.300 ; 37.272 ; 26.332 ; 28.678 ; 1.972 ; 2.346 ; 4.028 ; 154 ; $211,03 ; $72,38 ; $11,53 ; $294,95 ; $201.960,64 ; Requerimiento Adicional ;;Falabella;;Propiedad Ricoh;Ricoh-AficioMPC4503;
